Name,Inventory Icon,Caption,Object Map Link,Property,Base Shield Guard Strength,Shield Guard Up Lv1 Range,Shield Guard Up Lv2 Range,Durability,Durability Up Range,Durability Up+ Range,Fusable,Fuse Attack Power,Fuse Property 1,Fuse Property 2,Fuse Property 3,Fuse Base Name,Shield Bash Attack Power,Shield Surfing Damage Ratio,Shield Surfing Friction,Buy Price (Rupees),Buy Price (Poes),Buy Price (Zonaite),Scales To,Scales Up When Points Total Is,Scale Up Effect Lv1 When Points Total Is,Scale Up Effect Lv2 When Points Total Is,Flammable,Conducts Electricity,Wettability,Name (Japanese),Caption (Japanese),ActorName,Compendium #
Royal Shield,,"A shield issued to the Hyrulean royal
family's immediate guard detail. It boasts a
high defense, but these days it's more a
collector's item due to its ornamentation.",Royal Shield,-,55,58 - 60,61 - 65,29,32 - 34,35 - 39,TRUE,13,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,-,-,"7,333","7,866",FALSE,TRUE,0.1,王家の盾,"ハイラルの騎士の中でも 王家の人間を護る
任務に就いていた騎士に与えられた盾
美しい装飾と 高い防御性能が魅力的な逸品",Weapon_Shield_022,481
Forest Dweller's Shield,,"The Koroks made this shield specifically for
Hylians. It's made from the finest hard wood
of trees that grow only in Korok Forest, so
it's sturdier than it looks.",Forest Dweller's Shield,-,30,33 - 35,36 - 40,18,21 - 23,24 - 28,TRUE,7,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,-,-,"4,533","5,066",TRUE,FALSE,1,森人の盾,"コログ族が人間のために作ったといわれる盾
コログの森にしか自生しない とびきり硬い木を
使って作られているので 見た目よりはるかに丈夫",Weapon_Shield_023,482
Zora Shield,,"A Zora-made shield adorned with intricate
ornamentation. It's said that true masters
of this shield can redirect attacks as a rock
redirects rushing water.",Zora Shield,-,24,27 - 29,30 - 34,20,23 - 25,26 - 30,TRUE,4,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,-,-,"3,733","4,266",FALSE,TRUE,0.1,ゾーラの盾,"繊細な装飾がほどこされたゾーラ族の盾
熟練した使い手は 左右の湾曲部分で
攻撃を受け流すようにして 身を護るという",Weapon_Shield_025,483
Kite Shield,,"Rito warriors cherish this shield. Its unique
shape is designed with midbattle flight in
mind to facilitate aerial combat.",Kite Shield,-,14,17 - 19,20 - 24,16,19 - 21,22 - 26,TRUE,3,Blunt,Two-Handed Weapon Guard,Wing,Shield,-,1,1,-,-,-,-,-,"2,400","2,933",TRUE,FALSE,1,風凪の盾,"リト族の戦士が愛用する盾
空中戦を行う際 背負ったまま空を
飛びやすいように この形状をしている",Weapon_Shield_042,484
Gerudo Shield,,"The design of this metal shield has changed
over time to match the Gerudo's sword-and-
shield fighting style. It's favored by soldiers
and travelers alike.",Gerudo Shield,-,28,31 - 33,34 - 38,20,23 - 25,26 - 30,TRUE,5,Blunt,Two-Handed Weapon Guard,-,Shield,-,0.7,1,-,-,-,-,-,"4,266","4,800",FALSE,TRUE,0.1,ゲルドの盾,"片手剣と盾という ゲルド族の基本的な
戦闘スタイルに合わせて進化した 金属製の盾
兵士だけではなく 旅人にも重宝されている",Weapon_Shield_026,485
Radiant Shield,,"This extravagant shield is presented to
Gerudo warriors who rise to the rank of
captain. Its apparent opulence is rivaled
only by its combat capabilities.",Radiant Shield,-,35,38 - 40,41 - 45,26,29 - 31,32 - 36,TRUE,8,Blunt,Two-Handed Weapon Guard,Less Shield Surfing Friction,Shield,-,0.6,0.1,-,-,-,-,-,"5,200","5,733",FALSE,TRUE,0.1,太陽の盾,"ゲルドの兵士の中でも隊長以上のみに与えられる
豪華な盾  宝石が使われており 装飾品としての
価値が高いが 盾としても優れている",Weapon_Shield_036,486
Daybreaker,,"This shield was cherished by the Gerudo
Champion Urbosa. The gold used to make it
was handpicked to ensure a design that is
both lightweight and very durable.",-,-,48,-,-,60,-,-,TRUE,12,Blunt,Two-Handed Weapon Guard,-,Shield,-,0.5,1,-,-,-,-,-,-,-,FALSE,TRUE,0.1,七宝の盾,"英傑ウルボザが愛用していた至高の盾 厳選された
金属が使われ 軽さと強靭さを兼ね備えた逸品
強烈な攻撃も易々と 受け止められる性能を持つ",Weapon_Shield_037,487
Shield of the Mind's Eye,,"A small Sheikah-made shield. Its design is
intended to decrease blind spots without
sacrificing too much defense.",Shield of the Mind's Eye,-,16,19 - 21,22 - 26,16,19 - 21,22 - 26,TRUE,4,Blunt,Two-Handed Weapon Guard,Less Shield Surfing Friction,Shield,-,1,0.25,-,-,-,-,-,"2,666","3,200",TRUE,FALSE,1,護心の盾,"シーカー族が用いる木製の小型盾
機動性の確保や 死角を作りにくくするために
特殊な形状をしていると言われている",Weapon_Shield_041,488
Sea-Breeze Shield,,"A shield said to have been the favorite of a
hero who traveled the open seas. It was
apparently a family heirloom, passed down
through many generations.",Sea-Breeze Shield,-,65,-,-,90,-,-,TRUE,16,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,120,-,-,-,-,-,FALSE,TRUE,0.1,海風の盾,"大海原を旅した勇者が
愛用したといわれている盾
勇者の家に代々伝わってきた物らしい",Weapon_Shield_057,489
Rusty Shield,,"It's likely this rusty old shield once belonged
to a knight. It still has some defensive
capabilities, but its usefulness has been
worn down by time.",Rusty Shield,-,3,6 - 8,9 - 13,16,19 - 21,22 - 26,TRUE,1,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,-,-,933,"1,466",FALSE,TRUE,0.1,錆びた盾,"騎士が使っていたであろう 金属製の古びた盾
長い間打ち捨てられて 錆びている
防御性能は落ちているが それなりに使える",Weapon_Shield_021,490
Royal Guard's Shield,,"This shield was forged using ancient Sheikah
technology. It boasts extremely high stopping
power, but its structural weakness made its
low durability impractical for combat.",Royal Guard's Shield,-,70,73 - 75,76 - 80,14,17 - 19,20 - 24,TRUE,17,Blunt,Two-Handed Weapon Guard,-,Shield,-,3,1,-,-,-,-,-,"13,466","14,000",FALSE,TRUE,0.1,近衛の盾,"シーカー族によって 古代技術を用いて作られた盾
攻撃を受け止める力は非常に強いが 構造的に
耐久性が低く 実戦には向かないとされた",Weapon_Shield_033,491
Boko Shield,,"A Bokoblin-made shield created by attaching
a handhold to any flat tree bark picked up
off the ground. It's pretty shoddy, so don't
expect it to last very long.",Boko Shield,-,3,6 - 8,9 - 13,5,8 - 10,11 - 15,TRUE,1,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,Spiked Boko Shield,"1,466",400,933,TRUE,FALSE,1,ボコ盾,"落ちている適当な木の板に 
握り手を付けただけの ボコブリンの盾
耐久性も低く 簡単に壊れてしまう",Weapon_Shield_004,492
Spiked Boko Shield,,"A Boko shield made of slightly stronger
wood and reinforced with animal bones.",Spiked Boko Shield,Bone,10,13 - 15,16 - 20,7,10 - 12,13 - 17,TRUE,2,Blunt,Two-Handed Weapon Guard,Bone,Shield,-,1,1,-,-,-,Dragonbone Boko Shield,"2,400","1,333","1,866",TRUE,FALSE,1,トゲボコ盾,"少し硬い木で作られたボコブリンの盾
木の板に動物の骨をくくりつけて
強度を増してある",Weapon_Shield_005,493
Dragonbone Boko Shield,,"This Boko shield is reinforced with fossilized
bone. Its defensive capabilities are
respectable, but its predictably slipshod
craftsmanship spells low durability.",Dragonbone Boko Shield,Bone,25,28 - 30,31 - 35,8,11 - 13,14 - 18,TRUE,6,Blunt,Two-Handed Weapon Guard,Bone,Shield,-,1,1,-,-,-,-,-,"3,333","3,866",TRUE,FALSE,1,竜骨ボコ盾,"化石の骨を縁に取り付けて 補強されたボコ盾
敵の攻撃を受ける性能は 改良されているが
作りは相変わらず雑で 耐久性はそれほど高くない",Weapon_Shield_006,494
Lizal Shield,,"A common shield found among the Lizalfos.
It's made of metal, but its sloppy
craftsmanship offers poor durability.",Lizal Shield,-,15,18 - 20,21 - 25,8,11 - 13,14 - 18,TRUE,3,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,Reinforced Lizal Shield,"3,066","2,000","2,533",FALSE,TRUE,0.1,リザルシールド,"リザルフォスが好んで使う盾
金属で作られているが 荒っぽい作りを
しているため 耐久性はそれほど高くない",Weapon_Shield_007,495
Reinforced Lizal Shield,,"This Lizal shield has been strengthened by
adding a different type of metal to the mix.
The edge is lined with spikes, so handle
with care.",Reinforced Lizal Shield,-,22,25 - 27,28 - 32,12,15 - 17,18 - 22,TRUE,5,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,Steel Lizal Shield,"4,000","2,933","3,466",FALSE,TRUE,0.1,強化リザルシールド,"異なる種類の金属を組み合わせる事で
強度を上げたリザルシールド
縁がトゲトゲしているので 扱いには注意",Weapon_Shield_008,496
Steel Lizal Shield,,"This Lizal shield is adorned with several
metal shells as a means of reinforcement.
Its defensive capabilities are high, but its
weight requires a skilled soldier to bear.",Steel Lizal Shield,-,35,38 - 40,41 - 45,15,18 - 20,21 - 25,TRUE,8,Blunt,Two-Handed Weapon Guard,-,Shield,-,0.5,1,-,-,-,-,-,"4,666","5,200",FALSE,TRUE,0.1,鋼鉄リザルシールド,"金属の装甲を何枚も重ねたリザルシールド
ガード性能は高いが 重量があるため 
戦闘能力の高い個体だけが 装備している",Weapon_Shield_009,497
Zonaite Shield,,"A shield used by Zonai and made of zonaite.
It lowers the energy consumption of an
attached Zonai device.",Zonaite Shield, Zonai Energy Efficiency,11,14 - 16,17 - 21,15,18 - 20,21 - 25,TRUE,2,Blunt,Two-Handed Weapon Guard,Zonai,Shield,-,1,1,-,-,-,Strong Zonaite Shield,"2,533","1,466","2,000",FALSE,FALSE,1,ゾナニウムの盾,"ゾナニウムを素材として使った ゾナウ族の盾
その特性を利用し ゾナウギアを付けた時に
消費エネルギーを抑える 特徴を持つ",Weapon_Shield_101,498
Strong Zonaite Shield,,"A shield used by Zonai and made of zonaite.
It is moderately durable and lowers the energy
consumption of an attached Zonai device.",Strong Zonaite Shield, Zonai Energy Efficiency,26,29 - 31,32 - 36,15,18 - 20,21 - 25,TRUE,9,Blunt,Two-Handed Weapon Guard,Zonai,Shield,-,1,1,-,-,-,Mighty Zonaite Shield,"4,533","3,466","4,000",FALSE,FALSE,1,ゾナニウムの硬盾,"ゾナウ族がゾナニウムから作りだした 丈夫な盾
そこそこの耐久力があり 付けたゾナウギアの
エネルギー消費を抑える 特性を持つ",Weapon_Shield_102,499
Mighty Zonaite Shield,,"A shield used by Zonai and made of zonaite.
It is very durable and draws on its stored
energy to more efficiently use an attached
Zonai device.",Mighty Zonaite Shield, Zonai Energy Efficiency,50,53 - 55,56 - 60,20,23 - 25,26 - 30,TRUE,12,Blunt,Two-Handed Weapon Guard,Zonai,Shield,-,1,1,-,-,45,-,-,"6,666","7,200",FALSE,FALSE,1,ゾナニウムの堅盾,"ゾナニウムを使った頑丈な盾 耐久力がかなり高く
蓄積されたエネルギーにより 盾に付けた
ゾナウギアを効率的に使う事ができる",Weapon_Shield_103,500
Lynel Shield,,"A sturdy shield favored by Lynels for its
defensive and offensive capabilities. First
and foremost a shield, but the bladed edges
can deal slashing attacks when deflecting.",Lynel Shield,Shield Bash Attack,30,33 - 35,36 - 40,12,15 - 17,18 - 22,TRUE,7,Two-Handed Weapon Guard,Shield Bash Attack,Alter Shield Bash Animation,Shield,7,1,1,-,-,-,Mighty Lynel Shield,"5,066","4,000","4,533",FALSE,TRUE,0.1,ライネルの盾,"ライネルが装備している 金属製の頑強な盾
盾でありながら 刃を持っているため 
それを利用して 斬撃を繰り出す事ができる",Weapon_Shield_016,501
Mighty Lynel Shield,,"This Lynel-made shield has been reinforced
with armor and even more blades. Stronger
in both defense and offense, it can tear
through basic armor when deflecting.",Mighty Lynel Shield,Shield Bash Attack,44,47 - 49,50 - 54,15,18 - 20,21 - 25,TRUE,13,Two-Handed Weapon Guard,Shield Bash Attack,Alter Shield Bash Animation,Shield,13,1,1,-,-,-,Savage Lynel Shield,"6,933","5,866","6,400",FALSE,TRUE,0.1,獣王の盾,"装甲と刃が増えて 攻防共に強化された
ライネルの盾  縁に使われている刃は
簡単な防具ならば 切り裂く鋭さを持つ",Weapon_Shield_017,502
Savage Lynel Shield,,"This ultimate Lynel shield is favored by the
White-Maned Lynels. It excels at defending
against even the most brutal of attacks and
cutting down powerful foes when deflecting.",Savage Lynel Shield,Shield Bash Attack,62,65 - 67,68 - 72,20,23 - 25,26 - 30,TRUE,21,Two-Handed Weapon Guard,Shield Bash Attack,Alter Shield Bash Animation,Shield,21,1,1,-,-,-,-,-,"8,266","8,800",FALSE,TRUE,0.1,獣神の盾,"どんなに痛烈な攻撃も 難なく防ぐガード性能と
強敵を断ち切る刃を併せ持つ 究極の盾
白髪のライネルが好んで 使用している",Weapon_Shield_018,503
