#,Name,Icon,Image,Section,Description,Common Locations 1,Common Locations 2,Fuse Attack Power,Hearts Recovered,Unique Cooking Effects,Properties (Strength),Properties (Effect),Recoverable Materials 1,Recoverable Materials 2,Recoverable Materials 3,Recoverable Materials 4,Recoverable Materials 5,Recoverable Materials 6,Recoverable Materials 7,Recoverable Materials 8,Recoverable Materials 9,Recoverable Materials 10,Recoverable Materials 11,Recoverable Materials 12,Enemy Sensor Target 1,Enemy Sensor Target 2,Quest Required To Purchase,Name (Japanese),Description (Japanese),SpecialDeal,ActorName
013,Mountain Goat,,,Creatures,"These herbivores make their home in
meadows and rocky areas. Their
characteristically strong legs and
hooves facilitate easy climbing over
rocks. Goats aren't very quick, so
they make good targets for
beginning hunters.",East Necluda,Great Hyrule Forest,-,-,-,-,-,Raw Meat,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,セグロヤギ,"草原や岩場に生息する草食動物
岩場に引っかけやすい蹄と 強靱な足腰を持つため
断崖を移動する事もできる
動きはあまり機敏ではないので
狩りの初心者にとっては ありがたい獲物",,Animal_WildGoat_A
014,White Goat,,,Creatures,"These goats are raised for their multiple uses.
Their milk can be drank or made into butter,
and their soft fur is used to make clothes.
Domesticated goats wear bells around their
necks so they can be easily found after being
let out to graze.",East Necluda,Hyrule Ridge,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,シロヤギ,"ミルクを取るために 人に飼われているヤギ
新鮮なミルクは バターにも加工される
柔らかな毛も衣類に使われるため 重宝される
放牧する際に居場所が分かるように
首にはベルが付けられている",,Animal_Goat_A
015,Mountain Buck,,,Creatures,"These male deer are usually found deep in
the forest. They're well known for their huge,
branching antlers, which they'll swing in self-
defense if threatened. Deer are cautious by
nature so it can be tricky getting close, but
if you can capture one, you may be able to
take it for a ride.",Lanayru,Hyrule Field,-,-,-,-,-,Raw Prime Meat,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヤマシカ,"森の奥で見かけることが多い雄のシカ
枝分かれした大きな角を持つのが特徴
身の危険を感じると この角を振るう事もある
用心深い性格のため 近づく事は難しいが
うまく捕まえる事ができれば 
乗りこなせるかもしれない",,Animal_Deer_A
016,Mountain Doe,,,Creatures,"These female deer are often found alongside
a male. They're very timid animals by nature,
but they tend to let their guard down when
eating apples, a favorite food. This tidbit
of information can be useful to hunters.",Lanayru,Hyrule Field,-,-,-,-,-,Raw Prime Meat,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヤマシカ（雌）,"雄と一緒にいることが多い雌ジカ
雌は角を持たず 体格もやや小さい
警戒心がとても強い動物だが
好物であるリンゴなどの果実を
食べている時は その警戒が弱まるため 
狩りや捕獲のチャンスとなる",,Animal_Doe_A
017,Water Buffalo,,,Creatures,"These wild cows come equipped with big,
strong horns. They live off grass that grows
near the waterfront. Their meat is considered
to be high quality, so they're a common target
among hunters. Fun fact: the domesticated
Hateno cow, often raised in villages, was bred
through selective breeding using these.",Lanayru Wetlands,Hyrule Ridge,-,-,-,-,-,Raw Prime Meat,Raw Gourmet Meat,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,シツゲンスイギュウ,"大きくたくましい角を持った野生のウシ
水辺を好み その周囲の草を食べて生活する
村で飼われている家畜のハテノウシは
このシツゲンスイギュウを 品種改良したもの
質のよい肉が取れるため 狩りの対象となりやすい",,Animal_Bull_A
018,Hateno Cow,,,Creatures,"Originating in Hateno Village, these cows are
kept as livestock primarily for their milk. Their
horns are smaller than a water buffalo's, and
they're much more docile and therefore
easier to raise. Their horns are decorated
with bright colors when taken out to pasture.",Hateno Village,Lurelin Village,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ハテノウシ,"ミルクを取るために 家畜として飼われているウシ
ハテノ村が原産と言われている
シツゲンスイギュウに比べて角も小さく
性格も穏やかで 飼育しやすい
角に色鮮やかな飾りを付けて 放牧される",,Animal_Cow_A
019,Highland Sheep,,,Creatures,"Originally native to the mountainous regions, 
these sheep were domesticated for their wool
and have since found a home in villages.
Once the fluffy wool grows out, it's harvested
and used to make clothing and bedding. 
They're calm, timid creatures and move about 
in small herds.",East Necluda,Akkala Highlands,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,コウゲンヒツジ,"元々は山岳地帯に住む動物であったが
毛を取る目的で 村などで飼われるようになった
モコモコと伸びた毛は 人の手で刈り取られて
衣類や寝具に利用される
性格は大人しく臆病 基本的に群れで行動する",,Animal_Sheep_A
020,Grassland Fox,,,Creatures,"This breed of fox is common to grasslands
and forests and is hallmarked by its fluffy,
white-tipped tail. Unlike other foxes, they
tend to act independently rather than form
packs. Being omnivores, they hunt animals
smaller than themselves and often stick to
eating fruit and insects.",Hyrule Ridge,Lanayru Great Spring,-,-,-,-,-,Raw Meat,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヘイゲンギツネ,"草原や森の中でよく見かけられるキツネ
先端の白い フサフサした尻尾が特徴
群れは作らずに 単独で行動している事が多い
雑食性で普段は果実や虫を食べているが
自分より小さな動物や鳥を捕えることもある",,Animal_Fox_A
021,Snowcoat Fox,,,Creatures,"This particular breed of grassland fox
makes its home in cold climates such
as the Tabantha region. Its fur turned
white as a means of adapting to snowy
weather, serving as a natural camouflage.
Because of this, spotting one in the snow
takes a keen eye.",Hebra Mountains,Tabantha Frontier,-,-,-,-,-,Raw Prime Meat,Raw Gourmet Meat,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ユキイロギツネ,"タバンタなどの寒冷地に生息する
ヘイゲンギツネの仲間
雪山に適応する形で 体毛の色が白く変化している
雪の中では保護色となるため 
雪原にいるユキイロギツネを見つけるためには
高い観察力が必要となる",,Animal_Fox_B
022,Maraudo Wolf,,,Creatures,"These wolves are not only carnivorous but
can also be downright fierce. They're highly
aggressive and aren't afraid to attack people.
They hunt in groups and surround their prey
as a means of bringing it down. That said, if
one of their own is injured, the rest are wise
enough to run away. They communicate via
howls, so if you're wandering the forest and
hear their call, you had best take care.",Tabantha Frontier,Eldin Canyon,-,-,-,-,-,Raw Prime Meat,Raw Gourmet Meat,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,サンゾクオオカミ,"肉食性で獰猛な動物
攻撃性が高く 人が狙われる事もある
集団で狩りを行い 獲物を囲んで仕留める
仲間が倒されると 一転して逃げ出す慎重さも持つ
他の個体とのコミュニケーションに遠吠えを
使うので 森で聞こえた場合は注意が必要",,Animal_Wolf_A
023,Wasteland Coyote,,,Creatures,"This contentious beast is native to the
Gerudo region. It makes its home in the
desert, so it doesn't have a problem with hot,
arid climates. They do hunt other beasts and
small animals but more often turn their sights
on people. They're a threat to anyone
traveling through the desert.",Gerudo Desert,Gerudo Highlands,-,-,-,-,-,Raw Prime Meat,Raw Gourmet Meat,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,カラカラコヨーテ,"ゲルド地方で見られるオオカミの仲間
暑さや乾燥に強く 砂漠にも生息する
他のケモノや小動物を狩る事が多いが
人も襲う事もしばしばあり 
砂漠の旅人にとって危険な存在",,Animal_Wolf_B
024,Cold-Footed Wolf,,,Creatures,"This breed of maraudo wolf lives in snowy,
mountainous areas, such as the Hebra
Mountains. They travel in packs similar to
their maraudo relatives but are considerably
tougher thanks to having adapted to their
harsh environment. They're made even
more dangerous by their white fur, which
provides a natural camouflage in the snow.",Hebra Mountains,Gerudo Highlands,-,-,-,-,-,Raw Prime Meat,Raw Gourmet Meat,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,セツゲンオオカミ,"ヘブラ山脈などの雪山で暮らす
サンゾクオオカミの仲間  群れで行動するなど
基本的な生態は サンゾクオオカミと同じだが
厳しい環境に適応した強靱な体力と
雪原で保護色となる白い体毛を持つため
遭遇時の危険性がより高い",,Animal_Wolf_C
025,Tabantha Moose,,,Creatures,"The largest breed of deer in Hyrule, this
mammal's origin was traced back to the
Tabantha region. It's easily distinguished
by its immense antlers, which these moose
shed and regrow yearly. Their meat is
tender and high quality, so it works well
in a stew.",Tabantha Tundra,Hebra Mountains,-,-,-,-,-,Raw Prime Meat,Raw Gourmet Meat,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,タバンタヘラジカ,"タバンタ地方が原産のシカ
ハイラルに住むシカの中で最も大きい種で
平たく巨大な枝角が特徴的
実はこの角は毎年生え変わる
取れる肉は柔らかく上質であり
煮込み料理の材料などに人気がある",,Animal_Elk_A
026,Dondon,,,Creatures,"A new species of four-legged beast found in
southern regions. So far only five of these
creatures have ever been spotted in Hyrule.
Their diet is a mystery. But what is known is
that they are easily scared, and their giant
horns can be very dangerous.",Unknown,-,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ドンゴ,"亜熱帯地方で見つかった新種の四足動物
現在ハイラル全土で5頭のみが確認されている
その生態は謎に包まれており
何を主食にしているかさえ 明らかになっていない
臆病な性格で 驚くとその大きな角を
振り回すので 注意する必要がある",,Animal_Pao_A
027,Honeyvore Bear,,,Creatures,"This king among animals is dangerous game
for even the most seasoned hunters. They'll
attack anyone who wanders into their territory
regardless of the wanderer's weaponry. As
their name implies, they have a natural love
of honey. Extreme caution is advised when
you spot one, but if you're sneaky enough
and maybe just a little bit crazy...you just may
be able to ride one.",Hyrule Ridge,West Necluda,-,-,-,-,-,Courser Bee Honey,Raw Prime Meat,Raw Gourmet Meat,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ハチクイグマ,"ベテランの狩人さえも手出しを避ける 動物の王者
うっかり縄張りに入ってしまうと
武器を持った人間でも 関係なく襲われる
その名の通り 好物はハチミツ
危険度は高いが うまく注意を逸らせて近づければ
背中に乗ることができるかもしれない",,Animal_Bear_A
028,Grizzlemaw Bear,,,Creatures,"This breed of honeyvore bear is distinguished
by its gray fur. Even more ferocious than their
relatives, they're commonly believed to be
the most dangerous wild animal. They live
in deep snow away from villages, so it's
uncommon to encounter one. That said, if
you do find one, you'd be better off not
picking a fight with it.",Hebra Mountains,Gerudo Highlands,-,-,-,-,-,Hearty Salmon,Raw Prime Meat,Raw Gourmet Meat,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,コウテイヒグマ,"灰色の体毛を持つハチクイグマの仲間
より凶暴な性格と 強靭な体躯を持つため
野生動物の中で 最も危険な存在と言える
人里から離れた雪深い地域に住むため
遭遇する機会は少ないといわれているが
見かけた場合は うかつに手を出さない方が良い",,Animal_Bear_B
029,Hylian Retriever,,,Creatures,"The native breed of this mammal varies by
region, but one thing remains true: this
animal has been known as ""man's best friend""
since ancient times. They're very clever and
obedient, so aside from serving as pets, they
are also put to work watching over grazing
livestock. It's said that all Hylian retrievers
are descendants of the dog once owned by
the king of Hyrule.",Hyrule Field,Eldin Canyon,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ハイリア犬,"人間に従順な性格を持つ 賢い動物
昔から ペットとして飼われるだけではなく
訓練されて 放牧されているヒツジやヤギの
見張りや誘導役をこなす事もある
現在のハイリア犬は全て 太古のハイラル王家で
飼われていた犬の子孫と言われている",,Animal_Dog_A
030,Blupee,,,Creatures,"They may look like mere rabbits at a fleeting
glance, but these strange and aptly named
creatures glow with a mysterious blue light.
While the details of their origins are entirely
unknown, there is one thing we do know:
these peculiar little things have a penchant
for collecting rupees.",Unknown,-,-,-,-,-,-,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ルミー,"淡く青く光る 不思議な生き物
一見ウサギの仲間のように見えるが
起源や詳しい生態などは 一切不明
ルピーを好んで集めるという 
変わった習性を持つことだけが 知られている",,Animal_RupeeRabbit_A
031,Bubbulfrog,,,Creatures,"These mysterious creatures dwell in caves all
around the world. They like to stay hidden and
will spew bubbles when threatened. When
overcome, they disappear and leave behind
mysterious objects.",Unknown,-,-,-,-,-,-,Bubbul Gem,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,マヨイ,"世界中の洞窟に生息している不思議な生き物
洞窟内でも 人目につかない隠れた場所を好み
近づくと 口から泡を吐きながら 威嚇してくる

刺激を与えると 姿を消し
去り際に落とし物をしていく性質を持つ",,Enemy_CaveMaster_000
032,Common Sparrow,,,Creatures,"As the name suggests, these birds are rather
common around Hyrule. They mainly live in
plains or forests but sometimes venture out
to villages. Their diet consists of nuts and
small insects. They look pretty cute when
they jump around, but they don't have much
love for people.",Hyrule Ridge,Lanayru Great Spring,-,-,-,-,-,Chickaloo Tree Nut,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,タダスズメ,"ハイラルで最も一般的な小鳥
平原や森が主な生息地だが 人里でも見かけられる
雑食性で木の実や小型の虫など なんでも食べる
ピョンピョンと飛び跳ねて移動する姿が
かわいらしい鳥だが あまり人には懐かない",,Animal_LittleBird_A
033,Red Sparrow,,,Creatures,"These small birds live in the Hebra region and
eat mainly nuts and wild plants. Their bright-
red feathers are often used as decorations.",Hebra Mountains,Hyrule Ridge,-,-,-,-,-,Chickaloo Tree Nut,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ベニイロスズメ,"ヘブラ地方に生息する小鳥
山菜や木の芽などをついばんで食べる
体毛は鮮やかな紅色をしており 
その羽は装飾品に用いられる事もある",,Animal_LittleBird_B
034,Blue Sparrow,,,Creatures,"This breed of sparrow is most often seen in
the Lanayru region. They get most of their
food from leaves and plants that grow near
water. If it's safe enough, they can be spotted
bathing in puddles or shallow rivers.",Lanayru Great Spring,East Necluda,-,-,-,-,-,Chickaloo Tree Nut,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,アオナミスズメ,"ラネール地方でよく見られる小鳥
水辺の若葉や水草を好んで食べる
周りに危険がない時は 雨上がりの水たまりや 
川の浅瀬などで水浴びをするといわれている",,Animal_LittleBird_C
035,Rainbow Sparrow,,,Creatures,"These small birds hail from the Faron region.
As the name suggests, their feathers are
more colorful than other sparrows', which
has made them a favorite among dilettantes.
They feed on small rain-forest insects, but
the omnivore in them loves nuts as well.",Faron Grasslands,East Necluda,-,-,-,-,-,Chickaloo Tree Nut,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゴシキスズメ,"フィローネ地方で見かけられる小鳥
その名の通りカラフルな体毛を持ち
一部の好事家からは鑑賞用として人気がある
熱帯林に豊富に生息する 小型の虫を主食とするが
雑食性で木の実なども食べる",,Animal_LittleBird_D
036,Sand Sparrow,,,Creatures,"This desert-dwelling breed of sparrow has
adapted to withstand the heat in the arid
climate of the Gerudo region. Sometimes
they can be spotted half-buried in the
sand, holding perfectly still as a means
of evading predators.",Gerudo Desert,-,-,-,-,-,-,Chickaloo Tree Nut,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,スナホリスズメ,"ゲルド地方に生息する小鳥
乾燥した環境に適応しており
暑さに強い性質を持っている
砂漠では外敵に見つからないように
砂に半ば埋まった形で
じっとしている姿も見られる",,Animal_LittleBird_E
037,Golden Sparrow,,,Creatures,"This breed of sparrow is native to the Eldin
region. Their down is resistant to burning,
an evolutionary trait produced by the harsh
volcanic environment. They subsist on small
insects that hide inside rocks.",Eldin Canyon,Great Sky Island,-,-,-,-,-,Chickaloo Tree Nut,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,コガネスズメ,"オルディン地方に生息するスズメの仲間
火山という厳しい環境に適応しており
その羽毛は燃えにくい性質を
持っているといわれている
岩場に隠れる小さい虫を餌に生活している",,Animal_LittleBird_F
038,Wood Pigeon,,,Creatures,"These pigeons inhabit vast regions all
throughout Hyrule, so they can often be
found in forests, grasslands, or even villages.
They don't have a very strong sense of
awareness, so even less-skilled hunters
can nab them pretty easily.",Hyrule Field,Hyrule Ridge,-,-,-,-,-,Raw Bird Drumstick,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ナミバト,"ハイラル全土の森や草原に住む鳥
生息域は広く 人里でもよく見受けられる
警戒心があまり強くなく
狩りに慣れていない者でも
比較的簡単に狩る事ができる",,Animal_Pigeon_A
039,Rainbow Pigeon,,,Creatures,"This breed of pigeon is well known for its vivid
feathers. They live mainly in the northern
forests and grasslands of Hyrule. They're most
fond of nuts and grain but won't pass up the
occasional insect or earthworm if offered.
Their meat is of a higher quality than a
typical wood pigeon's.",Hyrule Ridge,Akkala Highlands,-,-,-,-,-,Raw Bird Thigh,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ニジイロバト,"とても鮮やかな羽を持つ ナミバトの仲間
ハイラルでは 主に北部の森林や草原に生息する
木の実や穀物を好んで食べるが
昆虫やミミズもついばんで食べる
肉はナミバトの物より上質と言われている",,Animal_Pigeon_B
040,Hotfeather Pigeon,,,Creatures,"This rare breed of pigeon lives near Death
Mountain. Their fireproof feathers are valuable as
clothing material. They usually prefer blazing-hot
environments, but lately they've been spotted
flying high in the sky where the air is cooler.",Eldin Sky Archipelago,Eldin Canyon,-,-,-,-,-,Raw Bird Thigh,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,カエンバト,"デスマウンテンの周辺にのみ生息する 珍しいハト
羽毛は強い耐火性能を持つため
衣類の材料としても重宝される
灼熱の環境を好むが 最近は気温の低い上空を
飛んでいる姿が たびたび目撃されている",,Animal_Ptarmigan_B
041,White Pigeon,,,Creatures,"This white-feathered breed of pigeon lives in
the Hebra region. It's said that a wood pigeon
survived atop a snowy mountain by changing
its feathers to blend in with the snow and
soon after became a white pigeon. They
have an extra layer of fat to guard against
the cold, so they have been known to yield
high-quality meat.",Hebra Mountains,Gerudo Highlands,-,-,-,-,-,Raw Bird Thigh,Raw Whole Bird,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,マシロバト,"ヘブラ地方に住む 真っ白な羽を持つハト 
ナミバトの中でも 雪の保護色となる
羽色を持つ個体が雪山で生き残り 
マシロバトになったといわれる
寒さに耐えらえるように脂肪を蓄えており
極上の鶏肉が取れることもある",,Animal_Ptarmigan_A
042,Accented Pigeon,,,Creatures,"The original variety of wood pigeon, these
small birds once were seen all around Hyrule
but are quite rare these days. Their color often
serves as camouflage.",Great Sky Island,East Gerudo Sky Archipelago,-,-,-,-,-,Raw Bird Drumstick,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,モノバト,"ナミバトの原種にあたる 小型の鳥
今ではあまり見かけなくなってしまったが
以前はハイラル全土に生息していた
首から上の体毛は草むらで目立ちにくい色で
保護色の役割を果たしている",,Animal_SkyPigeon_A
043,Mountain Crow,,,Creatures,"This bird is known for its cleverness and for
its distinct claws. They make their homes in
mountains, forests, and villages alike. Not
only are their jet-black feathers seen as an
ill omen, but they'll steal the crops right out
of a farmer's hands if given the chance.
Because of this, they're often met with enmity.",Great Hyrule Forest,Hyrule Ridge,-,-,-,-,-,Raw Bird Drumstick,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヤマガラス,"とても賢い鳥 鳴き声が特徴的
山岳部だけでなく 森や人里にも生息しており
人間の隙を見て農作物を荒らす事もある
その真っ黒な羽毛の印象からも
不吉な物として毛嫌いされる事が多い",,Animal_Crow_A
044,Bright-Chested Duck,,,Creatures,"These birds can be found on waterfronts all
over Hyrule. Their webbed feet make them
excellent swimmers, and their long necks
allow them to duck their heads underwater
to find food. Their fatty meat is high quality.",Hyrule Ridge,Lanayru Wetlands,-,-,-,-,-,Raw Bird Drumstick,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,シラホシガモ,"ハイラル全般の水辺に生息する鳥
足の水かきを使った泳ぎが得意
川や湖では くちばしで羽づくろいする姿や
水中の餌を捕まえるために 首を水の中に
突っ込んで 逆立ちする仕草が見られる
狩ると脂の乗った上質な肉が取れる",,Animal_WildDuck_A
045,Blue-Winged Heron,,,Creatures,"These birds live on waterfronts all throughout
Hyrule. Their characteristically thin legs and
long necks help them catch water-dwelling
fish or frogs for food. They lie perfectly still
in wait for their prey and then stretch out
their long necks to capture their meal.",Great Sky Island,Lanayru Wetlands,-,-,-,-,-,Raw Bird Drumstick,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,アオバサギ,"ハイラル各地の水辺でよく見かけられる鳥
細い足と長い首が特徴的
水中の魚やカエルなどを食べて生活する
獲物が近づくまで じっと動かずに待ち伏せをし
首を伸ばして捕食する事もある",,Animal_Heron_A
